window_index,y_now,k,horizon_s,attack_prob,progression_state,attck_phase,confidence
1045,0,1,10,0.0209,NORMAL,None,Medium
1045,0,2,20,0.0229,NORMAL,None,Medium
1045,0,3,30,0.0237,NORMAL,None,Medium
1045,0,4,40,0.025,NORMAL,None,Low
1045,0,5,50,0.0266,NORMAL,None,Low
1045,0,6,60,0.0248,NORMAL,None,Low
1046,0,1,10,0.0378,NORMAL,None,Medium
1046,0,2,20,0.0337,NORMAL,None,Medium
1046,0,3,30,0.0305,NORMAL,None,Medium
1046,0,4,40,0.0291,NORMAL,None,Low
1046,0,5,50,0.0254,NORMAL,None,Low
1046,0,6,60,0.0281,NORMAL,None,Low
1047,0,1,10,0.02,NORMAL,None,Medium
1047,0,2,20,0.0232,NORMAL,None,Medium
1047,0,3,30,0.0281,NORMAL,None,Medium
1047,0,4,40,0.0289,NORMAL,None,Low
1047,0,5,50,0.0318,NORMAL,None,Low
1047,0,6,60,0.0329,NORMAL,None,Low
1048,0,1,10,0.0185,NORMAL,None,Medium
1048,0,2,20,0.0243,NORMAL,None,Medium
1048,0,3,30,0.026,NORMAL,None,Medium
1048,0,4,40,0.025,NORMAL,None,Low
1048,0,5,50,0.0254,NORMAL,None,Low
1048,0,6,60,0.0259,NORMAL,None,Low
1049,0,1,10,0.0216,NORMAL,None,Medium
1049,0,2,20,0.0257,NORMAL,None,Medium
1049,0,3,30,0.0258,NORMAL,None,Medium
1049,0,4,40,0.0287,NORMAL,None,Low
1049,0,5,50,0.0264,NORMAL,None,Low
1049,0,6,60,0.0239,NORMAL,None,Low
1170,0,1,10,0.0245,NORMAL,None,Medium
1170,0,2,20,0.0266,NORMAL,None,Medium
1170,0,3,30,0.0263,NORMAL,None,Medium
1170,0,4,40,0.0259,NORMAL,None,Low
1170,0,5,50,0.0254,NORMAL,None,Low
1170,0,6,60,0.0253,NORMAL,None,Low
1171,0,1,10,0.0191,NORMAL,None,Medium
1171,0,2,20,0.0239,NORMAL,None,Medium
1171,0,3,30,0.0276,NORMAL,None,Medium
1171,0,4,40,0.0305,NORMAL,None,Low
1171,0,5,50,0.0296,NORMAL,None,Low
1171,0,6,60,0.0271,NORMAL,None,Low
1172,0,1,10,0.0206,NORMAL,None,Medium
1172,0,2,20,0.0237,NORMAL,None,Medium
1172,0,3,30,0.0239,NORMAL,None,Medium
1172,0,4,40,0.0248,NORMAL,None,Low
1172,0,5,50,0.0273,NORMAL,None,Low
1172,0,6,60,0.0245,NORMAL,None,Low
1173,0,1,10,0.0167,NORMAL,None,Medium
1173,0,2,20,0.0231,NORMAL,None,Medium
1173,0,3,30,0.0254,NORMAL,None,Medium
1173,0,4,40,0.0246,NORMAL,None,Low
1173,0,5,50,0.0258,NORMAL,None,Low
1173,0,6,60,0.0255,NORMAL,None,Low
1174,0,1,10,0.0176,NORMAL,None,Medium
1174,0,2,20,0.0248,NORMAL,None,Medium
1174,0,3,30,0.0261,NORMAL,None,Medium
1174,0,4,40,0.0268,NORMAL,None,Low
1174,0,5,50,0.0238,NORMAL,None,Low
1174,0,6,60,0.0253,NORMAL,None,Low
1175,0,1,10,0.0215,NORMAL,None,Medium
1175,0,2,20,0.0257,NORMAL,None,Medium
1175,0,3,30,0.0268,NORMAL,None,Medium
1175,0,4,40,0.0273,NORMAL,None,Low
1175,0,5,50,0.0306,NORMAL,None,Low
1175,0,6,60,0.0253,NORMAL,None,Low
1176,0,1,10,0.0219,NORMAL,None,Medium
1176,0,2,20,0.0231,NORMAL,None,Medium
1176,0,3,30,0.0243,NORMAL,None,Medium
1176,0,4,40,0.0249,NORMAL,None,Low
1176,0,5,50,0.0208,NORMAL,None,Low
1176,0,6,60,0.0255,NORMAL,None,Low
1177,0,1,10,0.0264,NORMAL,None,Medium
1177,0,2,20,0.0269,NORMAL,None,Medium
1177,0,3,30,0.0276,NORMAL,None,Medium
1177,0,4,40,0.0279,NORMAL,None,Low
1177,0,5,50,0.0296,NORMAL,None,Low
1177,0,6,60,0.0283,NORMAL,None,Low
1178,0,1,10,0.0198,NORMAL,None,Medium
1178,0,2,20,0.0253,NORMAL,None,Medium
1178,0,3,30,0.0257,NORMAL,None,Medium
1178,0,4,40,0.0243,NORMAL,None,Low
1178,0,5,50,0.025,NORMAL,None,Low
1178,0,6,60,0.0245,NORMAL,None,Low
1179,0,1,10,0.0377,NORMAL,None,Medium
1179,0,2,20,0.0324,NORMAL,None,Medium
1179,0,3,30,0.0294,NORMAL,None,Medium
1179,0,4,40,0.0318,NORMAL,None,Low
1179,0,5,50,0.0284,NORMAL,None,Low
1179,0,6,60,0.0254,NORMAL,None,Low
1180,0,1,10,0.0594,NORMAL,None,Medium
1180,0,2,20,0.0474,NORMAL,None,Medium
1180,0,3,30,0.0384,NORMAL,None,Medium
1180,0,4,40,0.0336,NORMAL,None,Low
1180,0,5,50,0.0279,NORMAL,None,Low
1180,0,6,60,0.0299,NORMAL,None,Low
1181,0,1,10,0.0263,NORMAL,None,Medium
1181,0,2,20,0.0279,NORMAL,None,Medium
1181,0,3,30,0.0269,NORMAL,None,Medium
1181,0,4,40,0.0289,NORMAL,None,Low
1181,0,5,50,0.0294,NORMAL,None,Low
1181,0,6,60,0.0279,NORMAL,None,Low
1182,0,1,10,0.0229,NORMAL,None,Medium
1182,0,2,20,0.0264,NORMAL,None,Medium
1182,0,3,30,0.0288,NORMAL,None,Medium
1182,0,4,40,0.0246,NORMAL,None,Low
1182,0,5,50,0.0251,NORMAL,None,Low
1182,0,6,60,0.0284,NORMAL,None,Low
1183,0,1,10,0.0211,NORMAL,None,Medium
1183,0,2,20,0.0256,NORMAL,None,Medium
1183,0,3,30,0.0261,NORMAL,None,Medium
1183,0,4,40,0.0264,NORMAL,None,Low
1183,0,5,50,0.0274,NORMAL,None,Low
1183,0,6,60,0.0259,NORMAL,None,Low
1184,0,1,10,0.0176,NORMAL,None,Medium
1184,0,2,20,0.023,NORMAL,None,Medium
1184,0,3,30,0.0232,NORMAL,None,Medium
1184,0,4,40,0.0264,NORMAL,None,Low
1184,0,5,50,0.0238,NORMAL,None,Low
1184,0,6,60,0.0245,NORMAL,None,Low
1185,0,1,10,0.0215,NORMAL,None,Medium
1185,0,2,20,0.0271,NORMAL,None,Medium
1185,0,3,30,0.0277,NORMAL,None,Medium
1185,0,4,40,0.0294,NORMAL,None,Low
1185,0,5,50,0.0272,NORMAL,None,Low
1185,0,6,60,0.0281,NORMAL,None,Low
1186,1,1,10,0.0242,NORMAL,None,Medium
1186,1,2,20,0.0287,NORMAL,None,Medium
1186,1,3,30,0.0297,NORMAL,None,Medium
1186,1,4,40,0.0294,NORMAL,None,Low
1186,1,5,50,0.0281,NORMAL,None,Low
1186,1,6,60,0.0247,NORMAL,None,Low
1187,0,1,10,0.0372,NORMAL,None,Medium
1187,0,2,20,0.0364,NORMAL,None,Medium
1187,0,3,30,0.0295,NORMAL,None,Medium
1187,0,4,40,0.0325,NORMAL,None,Low
1187,0,5,50,0.0278,NORMAL,None,Low
1187,0,6,60,0.0279,NORMAL,None,Low
1188,0,1,10,0.0779,NORMAL,None,Medium
1188,0,2,20,0.0699,NORMAL,None,Medium
1188,0,3,30,0.0526,NORMAL,None,Medium
1188,0,4,40,0.0447,NORMAL,None,Low
1188,0,5,50,0.0351,NORMAL,None,Low
1188,0,6,60,0.0322,NORMAL,None,Low
1189,0,1,10,0.0994,NORMAL,None,Medium
1189,0,2,20,0.0841,NORMAL,None,Medium
1189,0,3,30,0.0638,NORMAL,None,Medium
1189,0,4,40,0.0499,NORMAL,None,Low
1189,0,5,50,0.0436,NORMAL,None,Low
1189,0,6,60,0.0354,NORMAL,None,Low
1190,0,1,10,0.0736,NORMAL,None,Medium
1190,0,2,20,0.0558,NORMAL,None,Medium
1190,0,3,30,0.0464,NORMAL,None,Medium
1190,0,4,40,0.0351,NORMAL,None,Low
1190,0,5,50,0.0331,NORMAL,None,Low
1190,0,6,60,0.0319,NORMAL,None,Low
1191,0,1,10,0.0679,NORMAL,None,Medium
1191,0,2,20,0.0569,NORMAL,None,Medium
1191,0,3,30,0.0463,NORMAL,None,Medium
1191,0,4,40,0.0397,NORMAL,None,Low
1191,0,5,50,0.0328,NORMAL,None,Low
1191,0,6,60,0.0294,NORMAL,None,Low
1192,0,1,10,0.7155,PRE_ATTACK,Reconnaissance,Low
1192,0,2,20,0.7142,PRE_ATTACK,Reconnaissance,Low
1192,0,3,30,0.7203,PRE_ATTACK,Reconnaissance,Low
1192,0,4,40,0.7286,PRE_ATTACK,Reconnaissance,Low
1192,0,5,50,0.7358,PRE_ATTACK,Reconnaissance,Low
1192,0,6,60,0.749,PRE_ATTACK,Reconnaissance,Low
1193,0,1,10,0.6776,PRE_ATTACK,Reconnaissance,Low
1193,0,2,20,0.6804,PRE_ATTACK,Reconnaissance,Low
1193,0,3,30,0.69,PRE_ATTACK,Reconnaissance,Low
1193,0,4,40,0.6857,PRE_ATTACK,Reconnaissance,Low
1193,0,5,50,0.6909,PRE_ATTACK,Reconnaissance,Low
1193,0,6,60,0.7065,PRE_ATTACK,Reconnaissance,Low
1194,0,1,10,0.5647,PRE_ATTACK,Reconnaissance,Low
1194,0,2,20,0.5596,PRE_ATTACK,Reconnaissance,Low
1194,0,3,30,0.551,PRE_ATTACK,Reconnaissance,Low
1194,0,4,40,0.5408,PRE_ATTACK,Reconnaissance,Low
1194,0,5,50,0.5357,PRE_ATTACK,Reconnaissance,Low
1194,0,6,60,0.546,NORMAL,None,Low
1195,0,1,10,0.2154,NORMAL,None,Medium
1195,0,2,20,0.1601,NORMAL,None,Medium
1195,0,3,30,0.1243,NORMAL,None,Medium
1195,0,4,40,0.0948,NORMAL,None,Low
1195,0,5,50,0.0674,NORMAL,None,Low
1195,0,6,60,0.0512,NORMAL,None,Low
1196,1,1,10,0.0725,NORMAL,None,Medium
1196,1,2,20,0.0613,NORMAL,None,Medium
1196,1,3,30,0.0485,NORMAL,None,Medium
1196,1,4,40,0.0375,NORMAL,None,Low
1196,1,5,50,0.0334,NORMAL,None,Low
1196,1,6,60,0.035,NORMAL,None,Low
1197,0,1,10,0.0423,NORMAL,None,Medium
1197,0,2,20,0.0378,NORMAL,None,Medium
1197,0,3,30,0.0326,NORMAL,None,Medium
1197,0,4,40,0.0323,NORMAL,None,Low
1197,0,5,50,0.0323,NORMAL,None,Low
1197,0,6,60,0.0297,NORMAL,None,Low
1198,0,1,10,0.0247,NORMAL,None,Medium
1198,0,2,20,0.0286,NORMAL,None,Medium
1198,0,3,30,0.0301,NORMAL,None,Medium
1198,0,4,40,0.0279,NORMAL,None,Low
1198,0,5,50,0.0264,NORMAL,None,Low
1198,0,6,60,0.0295,NORMAL,None,Low
1199,0,1,10,0.0233,NORMAL,None,Medium
1199,0,2,20,0.028,NORMAL,None,Medium
1199,0,3,30,0.0281,NORMAL,None,Medium
1199,0,4,40,0.0315,NORMAL,None,Low
1199,0,5,50,0.029,NORMAL,None,Low
1199,0,6,60,0.0273,NORMAL,None,Low
1332,0,1,10,0.0398,NORMAL,None,Medium
1332,0,2,20,0.0411,NORMAL,None,Medium
1332,0,3,30,0.0361,NORMAL,None,Medium
1332,0,4,40,0.0316,NORMAL,None,Low
1332,0,5,50,0.0276,NORMAL,None,Low
1332,0,6,60,0.0286,NORMAL,None,Low
1333,0,1,10,0.0381,NORMAL,None,Medium
1333,0,2,20,0.0397,NORMAL,None,Medium
1333,0,3,30,0.0326,NORMAL,None,Medium
1333,0,4,40,0.0291,NORMAL,None,Low
1333,0,5,50,0.0275,NORMAL,None,Low
1333,0,6,60,0.0284,NORMAL,None,Low
1334,0,1,10,0.0385,NORMAL,None,Medium
1334,0,2,20,0.037,NORMAL,None,Medium
1334,0,3,30,0.0306,NORMAL,None,Medium
1334,0,4,40,0.0313,NORMAL,None,Low
1334,0,5,50,0.0307,NORMAL,None,Low
1334,0,6,60,0.0276,NORMAL,None,Low
1335,0,1,10,0.0362,NORMAL,None,Medium
1335,0,2,20,0.0395,NORMAL,None,Medium
1335,0,3,30,0.0364,NORMAL,None,Medium
1335,0,4,40,0.0313,NORMAL,None,Low
1335,0,5,50,0.0281,NORMAL,None,Low
1335,0,6,60,0.0309,NORMAL,None,Low
1336,1,1,10,0.0259,NORMAL,None,Medium
1336,1,2,20,0.0302,NORMAL,None,Medium
1336,1,3,30,0.0285,NORMAL,None,Medium
1336,1,4,40,0.0272,NORMAL,None,Low
1336,1,5,50,0.0292,NORMAL,None,Low
1336,1,6,60,0.0265,NORMAL,None,Low
1337,1,1,10,0.05,NORMAL,None,Medium
1337,1,2,20,0.0466,NORMAL,None,Medium
1337,1,3,30,0.0395,NORMAL,None,Medium
1337,1,4,40,0.0352,NORMAL,None,Low
1337,1,5,50,0.031,NORMAL,None,Low
1337,1,6,60,0.03,NORMAL,None,Low
1338,0,1,10,0.0776,NORMAL,None,Medium
1338,0,2,20,0.0628,NORMAL,None,Medium
1338,0,3,30,0.0467,NORMAL,None,Medium
1338,0,4,40,0.041,NORMAL,None,Low
1338,0,5,50,0.0341,NORMAL,None,Low
1338,0,6,60,0.0319,NORMAL,None,Low
1339,0,1,10,0.0661,NORMAL,None,Medium
1339,0,2,20,0.0633,NORMAL,None,Medium
1339,0,3,30,0.0529,NORMAL,None,Medium
1339,0,4,40,0.0455,NORMAL,None,Low
1339,0,5,50,0.037,NORMAL,None,Low
1339,0,6,60,0.0343,NORMAL,None,Low
1340,0,1,10,0.0957,NORMAL,None,Medium
1340,0,2,20,0.0806,NORMAL,None,Medium
1340,0,3,30,0.0644,NORMAL,None,Medium
1340,0,4,40,0.0527,NORMAL,None,Low
1340,0,5,50,0.0422,NORMAL,None,Low
1340,0,6,60,0.0411,NORMAL,None,Low
1341,0,1,10,0.2855,NORMAL,None,Medium
1341,0,2,20,0.2504,NORMAL,None,Medium
1341,0,3,30,0.2044,NORMAL,None,Medium
1341,0,4,40,0.1655,NORMAL,None,Low
1341,0,5,50,0.1381,NORMAL,None,Low
1341,0,6,60,0.1022,NORMAL,None,Low
1342,0,1,10,0.2982,NORMAL,None,Medium
1342,0,2,20,0.2661,NORMAL,None,Medium
1342,0,3,30,0.2175,NORMAL,None,Medium
1342,0,4,40,0.1788,NORMAL,None,Low
1342,0,5,50,0.1414,NORMAL,None,Low
1342,0,6,60,0.1005,NORMAL,None,Low
1343,0,1,10,0.5184,PRE_ATTACK,Reconnaissance,Low
1343,0,2,20,0.5037,NORMAL,None,Medium
1343,0,3,30,0.5114,NORMAL,None,Medium
1343,0,4,40,0.4851,NORMAL,None,Low
1343,0,5,50,0.457,NORMAL,None,Low
1343,0,6,60,0.435,NORMAL,None,Low
1344,0,1,10,0.5153,PRE_ATTACK,Reconnaissance,Low
1344,0,2,20,0.5147,NORMAL,None,Medium
1344,0,3,30,0.5047,NORMAL,None,Medium
1344,0,4,40,0.4939,NORMAL,None,Low
1344,0,5,50,0.4776,NORMAL,None,Low
1344,0,6,60,0.4636,NORMAL,None,Low
1345,0,1,10,0.3728,NORMAL,None,Medium
1345,0,2,20,0.3184,NORMAL,None,Medium
1345,0,3,30,0.2693,NORMAL,None,Medium
1345,0,4,40,0.2242,NORMAL,None,Low
1345,0,5,50,0.1918,NORMAL,None,Low
1345,0,6,60,0.1595,NORMAL,None,Low
1346,1,1,10,0.8273,PRE_ATTACK,Reconnaissance,Low
1346,1,2,20,0.8075,PRE_ATTACK,Reconnaissance,Low
1346,1,3,30,0.8025,PRE_ATTACK,Reconnaissance,Low
1346,1,4,40,0.8066,PRE_ATTACK,Reconnaissance,Low
1346,1,5,50,0.8047,PRE_ATTACK,Reconnaissance,Low
1346,1,6,60,0.8207,PRE_ATTACK,Reconnaissance,Low
1347,1,1,10,0.8448,PRE_ATTACK,Reconnaissance,Low
1347,1,2,20,0.8312,PRE_ATTACK,Reconnaissance,Low
1347,1,3,30,0.8321,PRE_ATTACK,Reconnaissance,Low
1347,1,4,40,0.8328,PRE_ATTACK,Reconnaissance,Low
1347,1,5,50,0.8304,PRE_ATTACK,Reconnaissance,Low
1347,1,6,60,0.8301,PRE_ATTACK,Reconnaissance,Low
1348,1,1,10,0.5711,PRE_ATTACK,Reconnaissance,Low
1348,1,2,20,0.5785,PRE_ATTACK,Reconnaissance,Low
1348,1,3,30,0.5809,PRE_ATTACK,Reconnaissance,Low
1348,1,4,40,0.5758,PRE_ATTACK,Reconnaissance,Low
1348,1,5,50,0.5748,PRE_ATTACK,Reconnaissance,Low
1348,1,6,60,0.5612,PRE_ATTACK,Reconnaissance,Low
1349,0,1,10,0.6769,PRE_ATTACK,Reconnaissance,Low
1349,0,2,20,0.6962,PRE_ATTACK,Reconnaissance,Low
1349,0,3,30,0.7015,PRE_ATTACK,Reconnaissance,Low
1349,0,4,40,0.7041,PRE_ATTACK,Reconnaissance,Low
1349,0,5,50,0.7019,PRE_ATTACK,Reconnaissance,Low
1349,0,6,60,0.7061,PRE_ATTACK,Reconnaissance,Low
1470,0,1,10,0.0253,NORMAL,None,Medium
1470,0,2,20,0.0269,NORMAL,None,Medium
1470,0,3,30,0.0269,NORMAL,None,Medium
1470,0,4,40,0.028,NORMAL,None,Low
1470,0,5,50,0.0276,NORMAL,None,Low
1470,0,6,60,0.0303,NORMAL,None,Low
1471,0,1,10,0.0274,NORMAL,None,Medium
1471,0,2,20,0.0289,NORMAL,None,Medium
1471,0,3,30,0.0289,NORMAL,None,Medium
1471,0,4,40,0.0283,NORMAL,None,Low
1471,0,5,50,0.0304,NORMAL,None,Low
1471,0,6,60,0.0276,NORMAL,None,Low
1472,0,1,10,0.0299,NORMAL,None,Medium
1472,0,2,20,0.0331,NORMAL,None,Medium
1472,0,3,30,0.0305,NORMAL,None,Medium
1472,0,4,40,0.0286,NORMAL,None,Low
1472,0,5,50,0.0299,NORMAL,None,Low
1472,0,6,60,0.0323,NORMAL,None,Low
1473,0,1,10,0.0224,NORMAL,None,Medium
1473,0,2,20,0.0296,NORMAL,None,Medium
1473,0,3,30,0.0271,NORMAL,None,Medium
1473,0,4,40,0.0252,NORMAL,None,Low
1473,0,5,50,0.0272,NORMAL,None,Low
1473,0,6,60,0.0278,NORMAL,None,Low
1474,1,1,10,0.0182,NORMAL,None,Medium
1474,1,2,20,0.026,NORMAL,None,Medium
1474,1,3,30,0.0258,NORMAL,None,Medium
1474,1,4,40,0.0256,NORMAL,None,Low
1474,1,5,50,0.0263,NORMAL,None,Low
1474,1,6,60,0.0289,NORMAL,None,Low
1475,1,1,10,0.0355,NORMAL,None,Medium
1475,1,2,20,0.0361,NORMAL,None,Medium
1475,1,3,30,0.0351,NORMAL,None,Medium
1475,1,4,40,0.0298,NORMAL,None,Low
1475,1,5,50,0.0287,NORMAL,None,Low
1475,1,6,60,0.0281,NORMAL,None,Low
1476,1,1,10,0.0468,NORMAL,None,Medium
1476,1,2,20,0.0447,NORMAL,None,Medium
1476,1,3,30,0.0374,NORMAL,None,Medium
1476,1,4,40,0.0344,NORMAL,None,Low
1476,1,5,50,0.0278,NORMAL,None,Low
1476,1,6,60,0.0271,NORMAL,None,Low
1477,0,1,10,0.0249,NORMAL,None,Medium
1477,0,2,20,0.0304,NORMAL,None,Medium
1477,0,3,30,0.0269,NORMAL,None,Medium
1477,0,4,40,0.0308,NORMAL,None,Low
1477,0,5,50,0.0269,NORMAL,None,Low
1477,0,6,60,0.026,NORMAL,None,Low
1478,0,1,10,0.2668,NORMAL,None,Medium
1478,0,2,20,0.2169,NORMAL,None,Medium
1478,0,3,30,0.1641,NORMAL,None,Medium
1478,0,4,40,0.1189,NORMAL,None,Low
1478,0,5,50,0.086,NORMAL,None,Low
1478,0,6,60,0.0636,NORMAL,None,Low
1479,0,1,10,0.0477,NORMAL,None,Medium
1479,0,2,20,0.0501,NORMAL,None,Medium
1479,0,3,30,0.0441,NORMAL,None,Medium
1479,0,4,40,0.0396,NORMAL,None,Low
1479,0,5,50,0.035,NORMAL,None,Low
1479,0,6,60,0.032,NORMAL,None,Low
1480,0,1,10,0.1594,NORMAL,None,Medium
1480,0,2,20,0.1221,NORMAL,None,Medium
1480,0,3,30,0.0936,NORMAL,None,Medium
1480,0,4,40,0.0649,NORMAL,None,Low
1480,0,5,50,0.0529,NORMAL,None,Low
1480,0,6,60,0.0401,NORMAL,None,Low
1481,0,1,10,0.2118,NORMAL,None,Medium
1481,0,2,20,0.1942,NORMAL,None,Medium
1481,0,3,30,0.1463,NORMAL,None,Medium
1481,0,4,40,0.1108,NORMAL,None,Low
1481,0,5,50,0.0906,NORMAL,None,Low
1481,0,6,60,0.0685,NORMAL,None,Low
1482,0,1,10,0.3604,NORMAL,None,Medium
1482,0,2,20,0.3273,NORMAL,None,Medium
1482,0,3,30,0.2883,NORMAL,None,Medium
1482,0,4,40,0.236,NORMAL,None,Low
1482,0,5,50,0.191,NORMAL,None,Low
1482,0,6,60,0.1547,NORMAL,None,Low
1483,0,1,10,0.2876,NORMAL,None,Medium
1483,0,2,20,0.2541,NORMAL,None,Medium
1483,0,3,30,0.2072,NORMAL,None,Medium
1483,0,4,40,0.1705,NORMAL,None,Low
1483,0,5,50,0.1384,NORMAL,None,Low
1483,0,6,60,0.1134,NORMAL,None,Low
1484,0,1,10,0.4477,NORMAL,None,Medium
1484,0,2,20,0.4232,NORMAL,None,Medium
1484,0,3,30,0.4083,NORMAL,None,Medium
1484,0,4,40,0.3762,NORMAL,None,Low
1484,0,5,50,0.356,NORMAL,None,Low
1484,0,6,60,0.32,NORMAL,None,Low
1485,0,1,10,0.577,PRE_ATTACK,Reconnaissance,Low
1485,0,2,20,0.5746,PRE_ATTACK,Reconnaissance,Low
1485,0,3,30,0.5791,PRE_ATTACK,Reconnaissance,Low
1485,0,4,40,0.5932,PRE_ATTACK,Reconnaissance,Low
1485,0,5,50,0.5776,PRE_ATTACK,Reconnaissance,Low
1485,0,6,60,0.5826,PRE_ATTACK,Reconnaissance,Low
1486,0,1,10,0.5924,PRE_ATTACK,Reconnaissance,Low
1486,0,2,20,0.5792,PRE_ATTACK,Reconnaissance,Low
1486,0,3,30,0.5818,PRE_ATTACK,Reconnaissance,Low
1486,0,4,40,0.5846,PRE_ATTACK,Reconnaissance,Low
1486,0,5,50,0.5762,PRE_ATTACK,Reconnaissance,Low
1486,0,6,60,0.5763,PRE_ATTACK,Reconnaissance,Low
1487,0,1,10,0.5277,PRE_ATTACK,Reconnaissance,Low
1487,0,2,20,0.5064,NORMAL,None,Medium
1487,0,3,30,0.483,NORMAL,None,Medium
1487,0,4,40,0.4671,NORMAL,None,Low
1487,0,5,50,0.4432,NORMAL,None,Low
1487,0,6,60,0.4244,NORMAL,None,Low
1488,0,1,10,0.5827,PRE_ATTACK,Reconnaissance,Low
1488,0,2,20,0.5765,PRE_ATTACK,Reconnaissance,Low
1488,0,3,30,0.5821,PRE_ATTACK,Reconnaissance,Low
1488,0,4,40,0.5803,PRE_ATTACK,Reconnaissance,Low
1488,0,5,50,0.5743,PRE_ATTACK,Reconnaissance,Low
1488,0,6,60,0.5637,PRE_ATTACK,Reconnaissance,Low
1489,0,1,10,0.6933,PRE_ATTACK,Reconnaissance,Low
1489,0,2,20,0.7044,PRE_ATTACK,Reconnaissance,Low
1489,0,3,30,0.7138,PRE_ATTACK,Reconnaissance,Low
1489,0,4,40,0.7288,PRE_ATTACK,Reconnaissance,Low
1489,0,5,50,0.7326,PRE_ATTACK,Reconnaissance,Low
1489,0,6,60,0.7366,PRE_ATTACK,Reconnaissance,Low
1490,0,1,10,0.0428,NORMAL,None,Medium
1490,0,2,20,0.0397,NORMAL,None,Medium
1490,0,3,30,0.0383,NORMAL,None,Medium
1490,0,4,40,0.0347,NORMAL,None,Low
1490,0,5,50,0.034,NORMAL,None,Low
1490,0,6,60,0.0313,NORMAL,None,Low
1491,0,1,10,0.0571,NORMAL,None,Medium
1491,0,2,20,0.0468,NORMAL,None,Medium
1491,0,3,30,0.0411,NORMAL,None,Medium
1491,0,4,40,0.0341,NORMAL,None,Low
1491,0,5,50,0.0317,NORMAL,None,Low
1491,0,6,60,0.0278,NORMAL,None,Low
1492,0,1,10,0.1444,NORMAL,None,Medium
1492,0,2,20,0.1067,NORMAL,None,Medium
1492,0,3,30,0.0862,NORMAL,None,Medium
1492,0,4,40,0.0624,NORMAL,None,Low
1492,0,5,50,0.0445,NORMAL,None,Low
1492,0,6,60,0.0413,NORMAL,None,Low
1493,0,1,10,0.224,NORMAL,None,Medium
1493,0,2,20,0.1768,NORMAL,None,Medium
1493,0,3,30,0.1287,NORMAL,None,Medium
1493,0,4,40,0.1074,NORMAL,None,Low
1493,0,5,50,0.08,NORMAL,None,Low
1493,0,6,60,0.0595,NORMAL,None,Low
1494,0,1,10,0.0983,NORMAL,None,Medium
1494,0,2,20,0.0862,NORMAL,None,Medium
1494,0,3,30,0.0675,NORMAL,None,Medium
1494,0,4,40,0.0518,NORMAL,None,Low
1494,0,5,50,0.035,NORMAL,None,Low
1494,0,6,60,0.0332,NORMAL,None,Low
1495,0,1,10,0.0392,NORMAL,None,Medium
1495,0,2,20,0.036,NORMAL,None,Medium
1495,0,3,30,0.0323,NORMAL,None,Medium
1495,0,4,40,0.0293,NORMAL,None,Low
1495,0,5,50,0.0276,NORMAL,None,Low
1495,0,6,60,0.0305,NORMAL,None,Low
1496,0,1,10,0.0271,NORMAL,None,Medium
1496,0,2,20,0.0308,NORMAL,None,Medium
1496,0,3,30,0.0298,NORMAL,None,Medium
1496,0,4,40,0.0312,NORMAL,None,Low
1496,0,5,50,0.0297,NORMAL,None,Low
1496,0,6,60,0.0268,NORMAL,None,Low
1497,0,1,10,0.0278,NORMAL,None,Medium
1497,0,2,20,0.0293,NORMAL,None,Medium
1497,0,3,30,0.0289,NORMAL,None,Medium
1497,0,4,40,0.0308,NORMAL,None,Low
1497,0,5,50,0.0278,NORMAL,None,Low
1497,0,6,60,0.0252,NORMAL,None,Low
1498,0,1,10,0.0255,NORMAL,None,Medium
1498,0,2,20,0.0272,NORMAL,None,Medium
1498,0,3,30,0.0277,NORMAL,None,Medium
1498,0,4,40,0.0277,NORMAL,None,Low
1498,0,5,50,0.0288,NORMAL,None,Low
1498,0,6,60,0.0262,NORMAL,None,Low
1499,0,1,10,0.0251,NORMAL,None,Medium
1499,0,2,20,0.0307,NORMAL,None,Medium
1499,0,3,30,0.0289,NORMAL,None,Medium
1499,0,4,40,0.025,NORMAL,None,Low
1499,0,5,50,0.0253,NORMAL,None,Low
1499,0,6,60,0.0261,NORMAL,None,Low
1620,0,1,10,0.0218,NORMAL,None,Medium
1620,0,2,20,0.0264,NORMAL,None,Medium
1620,0,3,30,0.025,NORMAL,None,Medium
1620,0,4,40,0.0276,NORMAL,None,Low
1620,0,5,50,0.0242,NORMAL,None,Low
1620,0,6,60,0.0264,NORMAL,None,Low
1621,0,1,10,0.0206,NORMAL,None,Medium
1621,0,2,20,0.0266,NORMAL,None,Medium
1621,0,3,30,0.0277,NORMAL,None,Medium
1621,0,4,40,0.0251,NORMAL,None,Low
1621,0,5,50,0.0269,NORMAL,None,Low
1621,0,6,60,0.0255,NORMAL,None,Low
1622,0,1,10,0.0214,NORMAL,None,Medium
1622,0,2,20,0.0256,NORMAL,None,Medium
1622,0,3,30,0.0241,NORMAL,None,Medium
1622,0,4,40,0.0256,NORMAL,None,Low
1622,0,5,50,0.0256,NORMAL,None,Low
1622,0,6,60,0.026,NORMAL,None,Low
1623,0,1,10,0.0162,NORMAL,None,Medium
1623,0,2,20,0.0221,NORMAL,None,Medium
1623,0,3,30,0.0263,NORMAL,None,Medium
1623,0,4,40,0.0251,NORMAL,None,Low
1623,0,5,50,0.0244,NORMAL,None,Low
1623,0,6,60,0.0247,NORMAL,None,Low
1624,0,1,10,0.017,NORMAL,None,Medium
